decay,k_prior,promoted_mult,mae
0.9,16.0,4.0,69.2082809740168
0.9,16.0,8.0,69.27162591734829
0.9,16.0,16.0,69.30876506307938
0.95,0.5,0.5,64.65127116353737
0.95,0.5,1.0,64.60908486635954
0.95,0.5,2.0,64.57334441028873
0.95,0.5,4.0,64.54687828869852
0.95,0.5,8.0,64.52636961325436
0.95,0.5,16.0,64.49640583591088
0.95,1.0,0.5,64.05795673040583
0.95,1.0,1.0,64.00633565553754
0.95,1.0,2.0,63.96623524268283
0.95,1.0,4.0,63.93375069037886
0.95,1.0,8.0,63.90775905718008
0.95,1.0,16.0,63.89613710712092
0.95,2.0,0.5,63.52505376692746
0.95,2.0,1.0,63.46289648741937
0.95,2.0,2.0,63.41743019465882
0.95,2.0,4.0,63.39171595952271
0.95,2.0,8.0,63.37526634208437
0.95,2.0,16.0,63.38397288244891
0.95,4.0,0.5,63.48140831224614
0.95,4.0,1.0,63.41433797605724
0.95,4.0,2.0,63.361638248767655
0.95,4.0,4.0,63.33942178071357
0.95,4.0,8.0,63.344105707986046
0.95,4.0,16.0,63.37293766768779
0.95,8.0,0.5,64.47036478354201
0.95,8.0,1.0,64.40010033075681
0.95,8.0,2.0,64.37614064226501
0.95,8.0,4.0,64.39289060211097
0.95,8.0,8.0,64.43937447069686
0.95,8.0,16.0,64.48055831341527
0.95,16.0,0.5,66.88067475554197
0.95,16.0,1.0,66.85986734103413
0.95,16.0,2.0,66.90373727029706
0.95,16.0,4.0,66.96406968647736
0.95,16.0,8.0,67.01717227161211
0.95,16.0,16.0,67.05198087493035
1.0,0.5,0.5,65.4735414371896
1.0,0.5,1.0,65.43423330741655
1.0,0.5,2.0,65.4017205111393
1.0,0.5,4.0,65.39390706061269
1.0,0.5,8.0,65.37526831129695
1.0,0.5,16.0,65.35004055653664
1.0,1.0,0.5,64.91674637583748
1.0,1.0,1.0,64.87664017138415
1.0,1.0,2.0,64.85240589535933
1.0,1.0,4.0,64.8270870986279
1.0,1.0,8.0,64.79807685598057
1.0,1.0,16.0,64.77799803282963
1.0,2.0,0.5,64.37992673743234
1.0,2.0,1.0,64.32352598283197
1.0,2.0,2.0,64.29185230373716
1.0,2.0,4.0,64.25561505971736
1.0,2.0,8.0,64.22466453511741
1.0,2.0,16.0,64.21295071755313
1.0,4.0,0.5,64.03393089667745
1.0,4.0,1.0,63.982038212430346
1.0,4.0,2.0,63.92851853944177
1.0,4.0,4.0,63.878429935104194
1.0,4.0,8.0,63.85587611996959
1.0,4.0,16.0,63.87342801563447
1.0,8.0,0.5,64.2896075817478
1.0,8.0,1.0,64.22243633920677
1.0,8.0,2.0,64.15967155169461
1.0,8.0,4.0,64.14215909736416
1.0,8.0,8.0,64.16700635060774
1.0,8.0,16.0,64.20120251462235
1.0,16.0,0.5,65.49358095883679
1.0,16.0,1.0,65.42240756191958
1.0,16.0,2.0,65.4322755911511
1.0,16.0,4.0,65.483969915722
1.0,16.0,8.0,65.5351420283203
1.0,16.0,16.0,65.57654342310538
